param_name,param_value,func_output
mu,-3.0,-25.404326049156
mu,-2.919191919191919,-24.92991605037486
mu,-2.8383838383838382,-24.491177127761663
mu,-2.757575757575758,-24.087237203252645
mu,-2.676767676767677,-23.71725596042865
mu,-2.595959595959596,-23.380423313011764
mu,-2.515151515151515,-23.075957964996807
mu,-2.4343434343434347,-22.80310605589222
mu,-2.353535353535354,-22.56113988507565
mu,-2.2727272727272725,-22.349356709761256
mu,-2.191919191919192,-22.16707761152077
mu,-2.1111111111111107,-22.013646426697793
mu,-2.0303030303030303,-21.88842873642665
mu,-1.9494949494949498,-21.790810912300064
mu,-1.8686868686868685,-21.72019921402654
mu,-1.7878787878787878,-21.676018935710434
mu,-1.707070707070707,-21.657713597626472
mu,-1.6262626262626263,-21.664744180602785
mu,-1.545454545454545,-21.69658840033509
mu,-1.4646464646464648,-21.75274001915
mu,-1.3838383838383839,-21.832708192913064
mu,-1.3030303030303028,-21.936016850943762
mu,-1.2222222222222223,-22.062204106950222
mu,-1.1414141414141417,-22.210821699130012
mu,-1.0606060606060603,-22.38143445772005
mu,-0.9797979797979794,-22.57361979838902
mu,-0.8989898989898988,-22.786967239976608
mu,-0.8181818181818181,-23.021077945187077
mu,-0.7373737373737372,-23.275564282931956
mu,-0.6565656565656566,-23.550049411105196
mu,-0.5757575757575757,-23.844166878657578
mu,-0.4949494949494948,-24.157560245898654
mu,-0.4141414141414139,-24.489882722038207
mu,-0.3333333333333335,-24.840796819028302
mu,-0.2525252525252526,-25.209974020833787
mu,-0.1717171717171715,-25.597094467312562
mu,-0.09090909090909083,-26.00184665193291
mu,-0.010101010101010166,-26.423927132606483
mu,0.07070707070707072,-26.86304025496185
mu,0.15151515151515138,-27.31889788741376
mu,0.23232323232323226,-27.79121916743316
mu,0.31313131313131337,-28.279730258452165
mu,0.39393939393939403,-28.78416411687039
mu,0.4747474747474749,-29.30426026866525
mu,0.5555555555555556,-29.8397645951294
mu,0.6363636363636362,-30.390429127296446
mu,0.7171717171717171,-30.95601184862682
mu,0.7979797979797978,-31.536276505566835
mu,0.8787878787878789,-32.13099242559787
mu,0.95959595959596,-32.73993434242766
mu,1.0404040404040407,-33.36288222798771
mu,1.121212121212121,-33.99962113091834
mu,1.2020202020202022,-34.64994102124757
mu,1.2828282828282829,-35.313636640973925
mu,1.3636363636363633,-35.99050736029187
mu,1.4444444444444444,-36.68035703919918
mu,1.525252525252525,-37.38299389425191
mu,1.6060606060606064,-38.0982303702346
mu,1.6868686868686866,-38.825883016529076
mu,1.7676767676767673,-39.56577236797921
mu,1.8484848484848486,-40.31772283005523
mu,1.9292929292929288,-41.08156256813021
mu,2.0101010101010104,-41.85712340069807
mu,2.090909090909091,-42.64424069635908
mu,2.171717171717172,-43.44275327441994
mu,2.2525252525252526,-44.25250330895426
mu,2.333333333333333,-45.07333623617848
mu,2.4141414141414144,-45.905100665011275
mu,2.494949494949495,-46.7476482906788
mu,2.575757575757576,-47.60083381124832
mu,2.6565656565656566,-48.46451484696877
mu,2.737373737373737,-49.338551862304314
mu,2.8181818181818183,-50.22280809055786
mu,2.898989898989899,-51.117149460975895
mu,2.97979797979798,-52.02144452824359
mu,3.0606060606060606,-52.93556440427028
mu,3.141414141414141,-53.859382692181896
mu,3.2222222222222223,-54.792775422431134
mu,3.3030303030303028,-55.73562099094687
mu,3.383838383838384,-56.68780009924308
mu,3.464646464646465,-57.64919569641472
mu,3.5454545454545454,-58.619692922948445
mu,3.6262626262626267,-59.59917905628214
mu,3.707070707070707,-60.58754345804442
mu,3.7878787878787876,-61.584677522917104
mu,3.868686868686868,-62.59047462905784
mu,3.94949494949495,-63.60483009002638
mu,4.03030303030303,-64.62764110816096
mu,4.111111111111111,-65.6588067293523
mu,4.191919191919192,-66.69822779916478
mu,4.2727272727272725,-67.74580692025603
mu,4.353535353535354,-68.80144841105192
mu,4.434343434343434,-69.86505826563001
mu,4.515151515151516,-70.93654411476922
mu,4.595959595959596,-72.01581518812804
mu,4.6767676767676765,-73.10278227750752
mu,4.757575757575758,-74.19735770116853
mu,4.838383838383838,-75.29945526915952
mu,4.91919191919192,-76.40899024962602
mu,5.0,-77.52587933606787
syst3,-5.0,-22.678024633398536
syst3,-4.8989898989899,-22.184352537944058
syst3,-4.797979797979798,-21.701038830455133
syst3,-4.696969696969697,-21.22808386212163
syst3,-4.595959595959595,-20.765487985325823
syst3,-4.494949494949495,-20.31325155364744
