param_name,param_value,func_output
ATLAS_E_EFF,-5.0,-980.6233526380843
ATLAS_E_EFF,-4.8989898989899,-980.3579630725646
ATLAS_E_EFF,-4.797979797979798,-980.1047444882004
ATLAS_E_EFF,-4.696969696969697,-979.8637057014992
ATLAS_E_EFF,-4.595959595959595,-979.634855573346
ATLAS_E_EFF,-4.494949494949495,-979.4182030092195
ATLAS_E_EFF,-4.3939393939393945,-979.2137569594099
ATLAS_E_EFF,-4.292929292929292,-979.021526419239
ATLAS_E_EFF,-4.191919191919192,-978.8415204292795
ATLAS_E_EFF,-4.09090909090909,-978.6737480755787
ATLAS_E_EFF,-3.9898989898989896,-978.5182184898791
ATLAS_E_EFF,-3.8888888888888893,-978.3749408498444
ATLAS_E_EFF,-3.7878787878787876,-978.2439243792834
ATLAS_E_EFF,-3.686868686868687,-978.1251783483785
ATLAS_E_EFF,-3.585858585858585,-978.0187120739123
ATLAS_E_EFF,-3.4848484848484844,-977.9245349194969
ATLAS_E_EFF,-3.383838383838384,-977.8426562958057
ATLAS_E_EFF,-3.2828282828282833,-977.7730856608036
ATLAS_E_EFF,-3.1818181818181817,-977.7158325199821
ATLAS_E_EFF,-3.0808080808080813,-977.670906426592
ATLAS_E_EFF,-2.97979797979798,-977.638316981881
ATLAS_E_EFF,-2.878787878787879,-977.61807383533
ATLAS_E_EFF,-2.7777777777777777,-977.610186684893
ATLAS_E_EFF,-2.6767676767676774,-977.6146652772356
ATLAS_E_EFF,-2.575757575757576,-977.6315194079788
ATLAS_E_EFF,-2.474747474747474,-977.6607589219396
ATLAS_E_EFF,-2.3737373737373737,-977.7023937133779
ATLAS_E_EFF,-2.2727272727272734,-977.756433726241
ATLAS_E_EFF,-2.1717171717171713,-977.822888954412
ATLAS_E_EFF,-2.070707070707071,-977.9017694419575
ATLAS_E_EFF,-1.9696969696969702,-977.9930852833805
ATLAS_E_EFF,-1.8686868686868685,-978.0968466238703
ATLAS_E_EFF,-1.7676767676767668,-978.2130636595571
ATLAS_E_EFF,-1.6666666666666674,-978.3417466377676
ATLAS_E_EFF,-1.5656565656565657,-978.4829058572814
ATLAS_E_EFF,-1.464646464646464,-978.6365516685894
ATLAS_E_EFF,-1.3636363636363633,-978.8026944741544
ATLAS_E_EFF,-1.2626262626262628,-978.9813447286726
ATLAS_E_EFF,-1.1616161616161613,-979.1725129393374
ATLAS_E_EFF,-1.0606060606060606,-979.3762096661035
ATLAS_E_EFF,-0.9595959595959598,-979.5924536527963
ATLAS_E_EFF,-0.8585858585858581,-979.8215219865738
ATLAS_E_EFF,-0.7575757575757573,-980.0637790648026
ATLAS_E_EFF,-0.6565656565656566,-980.319238828439
ATLAS_E_EFF,-0.5555555555555554,-980.5876418803847
ATLAS_E_EFF,-0.4545454545454546,-980.8685550499614
ATLAS_E_EFF,-0.3535353535353538,-981.1614602619876
ATLAS_E_EFF,-0.2525252525252526,-981.4658319663268
ATLAS_E_EFF,-0.15151515151515138,-981.7812023049225
ATLAS_E_EFF,-0.050505050505050164,-982.1072131183404
ATLAS_E_EFF,0.05050505050505105,-982.4436538451879
ATLAS_E_EFF,0.15151515151515138,-982.7904843537887
ATLAS_E_EFF,0.2525252525252526,-983.147841762964
ATLAS_E_EFF,0.3535353535353538,-983.5160303460783
ATLAS_E_EFF,0.45454545454545414,-983.8954936528982
ATLAS_E_EFF,0.5555555555555554,-984.2867680093761
ATLAS_E_EFF,0.6565656565656566,-984.6904165511148
ATLAS_E_EFF,0.7575757575757578,-985.1069429042526
ATLAS_E_EFF,0.8585858585858581,-985.5366835521363
ATLAS_E_EFF,0.9595959595959593,-985.9796778387262
ATLAS_E_EFF,1.0606060606060606,-986.4355527511209
ATLAS_E_EFF,1.161616161616161,-986.904014526241
ATLAS_E_EFF,1.262626262626263,-987.385063967698
ATLAS_E_EFF,1.3636363636363633,-987.8787113633854
ATLAS_E_EFF,1.4646464646464654,-988.384967048941
ATLAS_E_EFF,1.5656565656565657,-988.9038414079757
ATLAS_E_EFF,1.666666666666666,-989.4353448723002
ATLAS_E_EFF,1.7676767676767682,-989.9794879221573
ATLAS_E_EFF,1.8686868686868685,-990.5362810864501
ATLAS_E_EFF,1.9696969696969704,-991.1057349429792
ATLAS_E_EFF,2.070707070707071,-991.6878601186729
ATLAS_E_EFF,2.1717171717171713,-992.2826672898259
ATLAS_E_EFF,2.2727272727272734,-992.8901671823355
ATLAS_E_EFF,2.3737373737373737,-993.5103705719416
ATLAS_E_EFF,2.474747474747475,-994.1432882844649
ATLAS_E_EFF,2.575757575757576,-994.788931196052
ATLAS_E_EFF,2.6767676767676765,-995.4473102334165
ATLAS_E_EFF,2.7777777777777777,-996.1184363740857
ATLAS_E_EFF,2.878787878787879,-996.802320646646
ATLAS_E_EFF,2.97979797979798,-997.4989741309926
ATLAS_E_EFF,3.080808080808081,-998.2084079585787
ATLAS_E_EFF,3.181818181818182,-998.9306333126674
ATLAS_E_EFF,3.2828282828282833,-999.6656614285841
ATLAS_E_EFF,3.3838383838383836,-1000.4135035939735
ATLAS_E_EFF,3.484848484848485,-1001.1741711490536
ATLAS_E_EFF,3.585858585858585,-1001.9476754868758
ATLAS_E_EFF,3.686868686868687,-1002.7340280535843
ATLAS_E_EFF,3.7878787878787876,-1003.533240348678
ATLAS_E_EFF,3.888888888888889,-1004.3453239252732
ATLAS_E_EFF,3.9898989898989896,-1005.1702903903698
ATLAS_E_EFF,4.09090909090909,-1006.008151405118
ATLAS_E_EFF,4.191919191919192,-1006.8589186850866
