param_name,param_value,func_output
mu,-3.0,-24.673800580137257
mu,-2.919191919191919,-24.219001970471542
mu,-2.8383838383838382,-23.799434913922543
mu,-2.757575757575758,-23.414241944554366
mu,-2.676767676767677,-23.062596717450393
mu,-2.595959595959596,-22.74370251193648
mu,-2.515151515151515,-22.45679082420708
mu,-2.4343434343434347,-22.201120042989206
mu,-2.353535353535354,-21.9759742024051
mu,-2.2727272727272725,-21.780661806670256
mu,-2.191919191919192,-21.614514721694153
mu,-2.1111111111111107,-21.47688712904409
mu,-2.0303030303030303,-21.367154538087735
mu,-1.9494949494949498,-21.284712852462068
mu,-1.8686868686868685,-21.228977487297872
mu,-1.7878787878787878,-21.199382533919906
mu,-1.707070707070707,-21.195379968968556
mu,-1.6262626262626263,-21.216438905134343
mu,-1.545454545454545,-21.262044880889622
mu,-1.4646464646464648,-21.331699186798236
mu,-1.3838383838383839,-21.424918226157846
mu,-1.3030303030303028,-21.541232907886357
mu,-1.2222222222222223,-21.680188069714806
mu,-1.1414141414141417,-21.841341929882734
mu,-1.0606060606060603,-22.02426556565229
mu,-0.9797979797979794,-22.228542417082966
mu,-0.8989898989898988,-22.45376781460067
mu,-0.8181818181818181,-22.699548529005202
mu,-0.7373737373737372,-22.96550234264277
mu,-0.6565656565656566,-23.251257640554176
mu,-0.5757575757575757,-23.556453020494477
mu,-0.4949494949494948,-23.880736920776318
mu,-0.4141414141414139,-24.223767264973905
mu,-0.3333333333333335,-24.58521112256955
mu,-0.2525252525252526,-24.964744384692498
mu,-0.1717171717171715,-25.36205145415011
mu,-0.09090909090909083,-25.77682494899506
mu,-0.010101010101010166,-26.20876541892864
mu,0.07070707070707072,-26.657581073874727
mu,0.15151515151515138,-27.122987524098907
mu,0.23232323232323226,-27.6047075312913
mu,0.31313131313131337,-28.102470770055962
mu,0.39393939393939403,-28.61601359929313
mu,0.4747474747474749,-29.14507884297979
mu,0.5555555555555556,-29.68941557988956
mu,0.6363636363636362,-30.248778941818163
mu,0.7171717171717171,-30.82292991989954
mu,0.7979797979797978,-31.411635178632483
mu,0.8787878787878789,-32.01466687724195
mu,0.95959595959596,-32.63180249803975
mu,1.0404040404040407,-33.26282468144893
mu,1.121212121212121,-33.907521067388814
mu,1.2020202020202022,-34.56568414272391
mu,1.2828282828282829,-35.237111094503405
mu,1.3636363636363633,-35.92160366872588
mu,1.4444444444444444,-36.61896803438253
mu,1.525252525252525,-37.32901465254275
mu,1.6060606060606064,-38.051558150260746
mu,1.6868686868686866,-38.78641719908609
mu,1.7676767676767673,-39.53341439798453
mu,1.8484848484848486,-40.29237616047294
mu,1.9292929292929288,-41.06313260578651
mu,2.0101010101010104,-41.84551745391326
mu,2.090909090909091,-42.6393679243219
mu,2.171717171717172,-43.44452463823518
mu,2.2525252525252526,-44.26083152429885
mu,2.333333333333333,-45.08813572750199
mu,2.4141414141414144,-45.9262875212209
mu,2.494949494949495,-46.77514022225233
mu,2.575757575757576,-47.63455010871894
mu,2.6565656565656566,-48.50437634072989
mu,2.737373737373737,-49.38448088368551
mu,2.8181818181818183,-50.274728434121755
mu,2.898989898989899,-51.17498634799216
mu,2.97979797979798,-52.08512457129564
mu,3.0606060606060606,-53.00501557295286
mu,3.141414141414141,-53.93453427984838
mu,3.2222222222222223,-54.87355801395455
mu,3.3030303030303028,-55.82196643145545
mu,3.383838383838384,-56.77964146379668
mu,3.464646464646465,-57.74646726058734
mu,3.5454545454545454,-58.722330134285755
mu,3.6262626262626267,-59.70711850660126
mu,3.707070707070707,-60.70072285654834
mu,3.7878787878787876,-61.70303567009341
mu,3.868686868686868,-62.71395139133557
mu,3.94949494949495,-63.73336637516371
mu,4.03030303030303,-64.76117884133993
mu,4.111111111111111,-65.79728882995533
mu,4.191919191919192,-66.84159815820942
mu,4.2727272727272725,-67.8940103784675
